"Const","Writer","Actors","Plot","Language","Country","Awards","Poster","Rotten Tomatoes","Your.Rating","Date.Rated","Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors","AFI","Theater","Service","Decade","Seen"
"tt0033467","Herman J. Mankiewicz, Orson Welles, John Houseman","Orson Welles, Joseph Cotten, Dorothy Comingore","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.","English, Italian","United States","Won 1 Oscar. 11 wins & 13 nominations total","https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","99%",8,"2021-07-09","Citizen Kane","https://www.imdb.com/title/tt0033467/","movie",8.3,119,1941,"Drama, Mystery",455909,"1941-05-01","Orson Welles","2021-08-14",NA,NA,"1940s","Yes"
"tt0068646","Mario Puzo, Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan","The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantle to his unwilling son, Michael.","English, Italian, Latin","United States","Won 3 Oscars. 31 wins & 30 nominations total","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","97%",8,"2021-07-09","The Godfather","https://www.imdb.com/title/tt0068646/","movie",9.2,175,1972,"Crime, Drama",1948694,"1972-03-14","Francis Ford Coppola","2022-06-21",NA,"Prime","1970s","Yes"
"tt0034583","Julius J. Epstein, Philip G. Epstein, Howard Koch","Humphrey Bogart, Ingrid Bergman, Paul Henreid","A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","English, French, German, Italian","United States","Won 3 Oscars. 10 wins & 9 nominations total","https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg","99%",9,"2021-07-09","Casablanca","https://www.imdb.com/title/tt0034583/","movie",8.5,102,1942,"Drama, Romance, War",591449,"1942-11-26","Michael Curtiz","2021-08-14",NA,NA,"1940s","Yes"
"tt0081398","Jake LaMotta, Joseph Carter, Peter Savage","Robert De Niro, Cathy Moriarty, Joe Pesci","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","English","United States","Won 2 Oscars. 24 wins & 28 nominations total","https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg","94%",8,"2023-09-12","Raging Bull","https://www.imdb.com/title/tt0081398/","movie",8.1,129,1980,"Biography, Drama, Sport",368759,"1980-11-13","Martin Scorsese",NA,NA,NA,"1980s","Yes"
"tt0045152","Betty Comden, Adolph Green","Gene Kelly, Donald O'Connor, Debbie Reynolds","A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.","English","United States","Nominated for 2 Oscars. 7 wins & 9 nominations total","https://m.media-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg","100%",6,"2021-11-04","Singin' in the Rain","https://www.imdb.com/title/tt0045152/","movie",8.3,103,1952,"Comedy, Musical, Romance",252993,"1952-03-27","Gene Kelly, Stanley Donen","2023-07-18",NA,NA,"1950s","Yes"
"tt0031381","Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett","Clark Gable, Vivien Leigh, Thomas Mitchell","The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.","English","United States","Won 10 Oscars. 21 wins & 12 nominations total","https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","90%",7,"2022-01-16","Gone with the Wind","https://www.imdb.com/title/tt0031381/","movie",8.2,238,1939,"Drama, Romance, War",326394,"1939-12-15","Sam Wood, George Cukor, Victor Fleming",NA,NA,NA,"1930s","Yes"
"tt0056172","Robert Bolt, Michael Wilson","Peter O'Toole, Alec Guinness, Anthony Quinn","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","English, Arabic, Turkish","United Kingdom","Won 7 Oscars. 31 wins & 14 nominations total","https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg","94%",9,"2021-07-09","Lawrence of Arabia","https://www.imdb.com/title/tt0056172/","movie",8.3,218,1962,"Adventure, Biography, Drama, War",305460,"1962-12-10","David Lean","2021-08-17",NA,NA,"1960s","Yes"
"tt0108052","Thomas Keneally, Steven Zaillian","Liam Neeson, Ralph Fiennes, Ben Kingsley","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","English, Hebrew, German, Polish, Latin","United States","Won 7 Oscars. 91 wins & 49 nominations total","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","98%",8,"2021-07-09","Schindler's List","https://www.imdb.com/title/tt0108052/","movie",9,195,1993,"Biography, Drama, History",1406320,"1993-11-30","Steven Spielberg",NA,NA,NA,"1990s","Yes"
"tt0052357","Alec Coppel, Samuel A. Taylor, Pierre Boileau","James Stewart, Kim Novak, Barbara Bel Geddes","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","English","United States","Nominated for 2 Oscars. 8 wins & 7 nominations total","https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","94%",8,"2021-07-09","Vertigo","https://www.imdb.com/title/tt0052357/","movie",8.3,128,1958,"Mystery, Romance, Thriller",416266,"1958-05-09","Alfred Hitchcock",NA,NA,NA,"1950s","Yes"
"tt0032138","Noel Langley, Florence Ryerson, Edgar Allan Woolf","Judy Garland, Frank Morgan, Ray Bolger","Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishe","English","United States","Won 2 Oscars. 13 wins & 16 nominations total","https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_SX300.jpg","98%",10,"2021-07-09","The Wizard of Oz","https://www.imdb.com/title/tt0032138/","movie",8.1,102,1939,"Adventure, Family, Fantasy, Musical",416296,"1939-08-10","Mervyn LeRoy, George Cukor, King Vidor, Norman Taurog, Victor Fleming, Richard Thorpe",NA,"2022-06-05",NA,"1930s","Yes"
